Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,24.719999,24.719999,24.719999,24.719999,000,24.719999
2016-09-12,25.24,25.24,25.24,25.24,000,25.24
2016-09-09,25.27,25.27,25.27,25.27,000,25.27
2016-09-08,25.799999,25.799999,25.799999,25.799999,000,25.799999
2016-09-07,25.860001,25.860001,25.860001,25.860001,000,25.860001
2016-09-06,25.83,25.83,25.83,25.83,000,25.83
2016-09-02,25.51,25.51,25.51,25.51,000,25.51
2016-09-01,25.23,25.23,25.23,25.23,000,25.23
2016-08-31,25.120001,25.120001,25.120001,25.120001,000,25.120001
2016-08-30,25.17,25.17,25.17,25.17,000,25.17
2016-08-29,25.24,25.24,25.24,25.24,000,25.24
2016-08-26,25.17,25.17,25.17,25.17,000,25.17
2016-08-25,25.309999,25.309999,25.309999,25.309999,000,25.309999
2016-08-24,25.35,25.35,25.35,25.35,000,25.35
2016-08-23,25.450001,25.450001,25.450001,25.450001,000,25.450001
2016-08-22,25.370001,25.370001,25.370001,25.370001,000,25.370001
2016-08-19,25.40,25.40,25.40,25.40,000,25.40
2016-08-18,25.59,25.59,25.59,25.59,000,25.59
2016-08-17,25.440001,25.440001,25.440001,25.440001,000,25.440001
2016-08-16,25.469999,25.469999,25.469999,25.469999,000,25.469999
2016-08-15,25.51,25.51,25.51,25.51,000,25.51
2016-08-12,25.40,25.40,25.40,25.40,000,25.40
2016-08-11,25.42,25.42,25.42,25.42,000,25.42
2016-08-10,25.26,25.26,25.26,25.26,000,25.26
2016-08-09,25.200001,25.200001,25.200001,25.200001,000,25.200001
2016-08-08,25.00,25.00,25.00,25.00,000,25.00
2016-08-05,24.92,24.92,24.92,24.92,000,24.92
2016-08-04,24.76,24.76,24.76,24.76,000,24.76
2016-08-03,24.629999,24.629999,24.629999,24.629999,000,24.629999
2016-08-02,24.73,24.73,24.73,24.73,000,24.73
2016-08-01,24.84,24.84,24.84,24.84,000,24.84
2016-07-29,24.950001,24.950001,24.950001,24.950001,000,24.950001
2016-07-28,24.700001,24.700001,24.700001,24.700001,000,24.700001
2016-07-27,24.700001,24.700001,24.700001,24.700001,000,24.700001
2016-07-26,24.60,24.60,24.60,24.60,000,24.60
2016-07-25,24.51,24.51,24.51,24.51,000,24.51
2016-07-22,24.549999,24.549999,24.549999,24.549999,000,24.549999
2016-07-21,24.540001,24.540001,24.540001,24.540001,000,24.540001
2016-07-20,24.59,24.59,24.59,24.59,000,24.59
2016-07-19,24.42,24.42,24.42,24.42,000,24.42
2016-07-18,24.57,24.57,24.57,24.57,000,24.57
2016-07-15,24.51,24.51,24.51,24.51,000,24.51
2016-07-14,24.59,24.59,24.59,24.59,000,24.59
2016-07-13,24.379999,24.379999,24.379999,24.379999,000,24.379999
2016-07-12,24.370001,24.370001,24.370001,24.370001,000,24.370001
2016-07-11,24.07,24.07,24.07,24.07,000,24.07
2016-07-08,23.74,23.74,23.74,23.74,000,23.74
2016-07-07,23.450001,23.450001,23.450001,23.450001,000,23.450001
2016-07-06,23.49,23.49,23.49,23.49,000,23.49
2016-07-05,23.549999,23.549999,23.549999,23.549999,000,23.549999
2016-07-01,23.969999,23.969999,23.969999,23.969999,000,23.969999
2016-06-30,23.889999,23.889999,23.889999,23.889999,000,23.889999
2016-06-29,23.58,23.58,23.58,23.58,000,23.58
2016-06-28,23.15,23.15,23.15,23.15,000,23.15
2016-06-27,22.58,22.58,22.58,22.58,000,22.58
2016-06-24,23.08,23.08,23.08,23.08,000,23.08
