Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,17.860001,17.860001,17.860001,17.860001,000,17.860001
2016-09-15,17.969999,17.969999,17.969999,17.969999,000,17.969999
2016-09-14,17.790001,17.790001,17.790001,17.790001,000,17.790001
2016-09-13,17.73,17.73,17.73,17.73,000,17.73
2016-09-12,18.120001,18.120001,18.120001,18.120001,000,18.120001
2016-09-09,18.10,18.10,18.10,18.10,000,18.10
2016-09-08,18.57,18.57,18.57,18.57,000,18.57
2016-09-07,18.57,18.57,18.57,18.57,000,18.57
2016-09-06,18.540001,18.540001,18.540001,18.540001,000,18.540001
2016-09-02,18.110001,18.110001,18.110001,18.110001,000,18.110001
2016-09-01,17.879999,17.879999,17.879999,17.879999,000,17.879999
2016-08-31,17.83,17.83,17.83,17.83,000,17.83
2016-08-30,17.92,17.92,17.92,17.92,000,17.92
2016-08-29,17.950001,17.950001,17.950001,17.950001,000,17.950001
2016-08-26,17.870001,17.870001,17.870001,17.870001,000,17.870001
2016-08-25,17.889999,17.889999,17.889999,17.889999,000,17.889999
2016-08-24,17.85,17.85,17.85,17.85,000,17.85
2016-08-23,17.959999,17.959999,17.959999,17.959999,000,17.959999
2016-08-22,18.01,18.01,18.01,18.01,000,18.01
2016-08-19,18.18,18.18,18.18,18.18,000,18.18
2016-08-18,18.280001,18.280001,18.280001,18.280001,000,18.280001
2016-08-17,18.17,18.17,18.17,18.17,000,18.17
2016-08-16,18.18,18.18,18.18,18.18,000,18.18
2016-08-15,18.209999,18.209999,18.209999,18.209999,000,18.209999
2016-08-12,18.049999,18.049999,18.049999,18.049999,000,18.049999
2016-08-11,18.040001,18.040001,18.040001,18.040001,000,18.040001
2016-08-10,17.92,17.92,17.92,17.92,000,17.92
2016-08-09,17.950001,17.950001,17.950001,17.950001,000,17.950001
2016-08-08,17.84,17.84,17.84,17.84,000,17.84
2016-08-05,17.76,17.76,17.76,17.76,000,17.76
2016-08-04,17.540001,17.540001,17.540001,17.540001,000,17.540001
2016-08-03,17.440001,17.440001,17.440001,17.440001,000,17.440001
2016-08-02,17.41,17.41,17.41,17.41,000,17.41
2016-08-01,17.549999,17.549999,17.549999,17.549999,000,17.549999
2016-07-29,17.459999,17.459999,17.459999,17.459999,000,17.459999
2016-07-28,17.459999,17.459999,17.459999,17.459999,000,17.459999
2016-07-27,17.41,17.41,17.41,17.41,000,17.41
